,logFC,logCPM,F,PValue,FDR
WBGene00013455,-0.341447057,2.103592176,3.517613791,0.077801825,0.260354926
WBGene00013456,-0.176151599,3.194725714,1.327157976,0.265075032,0.533726978
WBGene00013457,0.016719629,-0.131545811,0.001966638,0.96513883,0.987447929
WBGene00013458,-0.315778099,4.777088717,10.82250556,0.004271777,0.033265227
WBGene00013459,-0.078301184,3.196650724,0.438597603,0.516577522,0.747634216
WBGene00013460,0.032939203,4.407432383,0.151908442,0.701502781,0.858914228
WBGene00013461,-0.034487894,4.608574047,0.182654216,0.674405247,0.846408663
WBGene00013462,-0.04054539,6.765706816,0.313854336,0.582549563,0.791590086
WBGene00013463,-0.095139429,8.937631334,1.183812698,0.29159469,0.559984076
WBGene00013464,-0.016132736,4.395398864,0.021944861,0.88395692,0.95118809
WBGene00013465,0.139717669,4.668034367,1.582054273,0.225276271,0.486797594
WBGene00013470,0.972652791,0.024051168,6.948381021,0.01722182,0.094565698
WBGene00013477,0.730197482,3.470470619,9.884656427,0.00585469,0.042149111
WBGene00013479,0.107563881,0.650819034,0.136442849,0.716352039,0.867303067
WBGene00013480,0.577427627,0.309069307,2.529660161,0.129937665,0.356631721
WBGene00013481,0.2768327,6.571580219,8.439660762,0.009768791,0.062585907
WBGene00013482,0.112038677,2.848645368,0.657881915,0.428391764,0.682000818
WBGene00013484,1.241602183,1.37637025,32.03823263,2.70E-05,0.000597806
WBGene00013485,1.28322566,3.888394618,98.41370725,1.56E-08,1.45E-06
WBGene00013486,-0.090940008,2.312674395,0.345772713,0.56415863,0.780132335
WBGene00013489,2.723570242,9.156243692,110.9955294,6.37E-09,6.84E-07
WBGene00013490,-0.163816515,1.066564621,0.640445777,0.434465763,0.68751669
WBGene00013496,0.171904522,2.162592512,1.604956747,0.222090962,0.483087113
WBGene00013497,0.200877487,3.214599378,1.694209731,0.210213663,0.470195065
WBGene00013498,0.055582111,1.255988204,0.056378326,0.815120094,0.918063116
WBGene00013499,0.011156088,6.598169846,0.012507296,0.91224837,0.964422482
WBGene00013500,0.633263826,-0.14883493,0.944710094,0.344542568,0.60945338
WBGene00013501,0.273036845,-0.045227413,0.183599772,0.673616284,0.846077932
WBGene00013506,0.093700205,3.752888983,0.712438947,0.41022323,0.666926713
WBGene00013507,0.332474179,0.454570732,0.730633984,0.404428514,0.662474063
WBGene00013508,0.241291664,0.610194438,0.465725881,0.504049251,0.738742086
WBGene00013509,-0.257787647,2.225629252,3.085507352,0.096782343,0.298482594
WBGene00013511,0.003997469,-0.289197206,0.000120578,0.991365129,0.997728785
WBGene00013513,0.392494779,0.298186213,1.342288502,0.26246649,0.531089692
WBGene00013514,-0.371963791,2.788584394,5.664418857,0.029138233,0.136480696
WBGene00013515,0.41640589,8.004912666,10.86314725,0.004214999,0.033000416
WBGene00013516,1.049542131,5.427489441,42.84011711,4.72E-06,0.000141542
WBGene00013517,0.289187719,0.899758837,1.592122397,0.223868807,0.485384015
WBGene00013518,-0.011789213,4.797048548,0.027058602,0.871259402,0.945718767
WBGene00013522,-0.288794601,0.008283152,0.760315517,0.395240424,0.654319577
WBGene00013529,0.221872867,2.762723815,2.317802921,0.146075728,0.382048267
WBGene00013530,0.076922698,3.970591382,0.388763947,0.541131926,0.764484683
WBGene00013531,-0.117023954,2.690973871,0.781586931,0.388848778,0.649294524
WBGene00013532,0.001326619,4.349661863,0.000216901,0.988419031,0.996517815
WBGene00013534,-0.098280468,2.717216282,0.271106155,0.609229812,0.807920795
WBGene00013538,0.061370293,3.799468321,0.113950538,0.739775766,0.879905138
WBGene00013539,0.743164768,1.181653143,5.644569677,0.029385306,0.137327269
WBGene00013540,-0.017961858,4.557905137,0.008068297,0.929465141,0.972338759
WBGene00013541,0.099918849,3.874362403,0.567795151,0.461328764,0.707048778
WBGene00013542,0.310252878,2.792448007,3.341371566,0.084959811,0.2759385
WBGene00013543,-0.303040111,5.012826664,10.29998758,0.005083991,0.037958368
WBGene00013544,-0.121051323,4.880333321,0.834774879,0.373527423,0.63563358
WBGene00013545,-0.009410625,6.117641781,0.008788086,0.926395402,0.970809325
WBGene00013548,-0.124581942,4.023589099,0.610199903,0.445333328,0.695320556
WBGene00013549,-0.055700251,6.037759524,0.499611254,0.489138258,0.727835964
WBGene00013550,0.060348989,5.039018472,0.608700559,0.445883403,0.695408488
WBGene00013551,0.323644004,2.014206311,4.103965559,0.05858582,0.215324803
WBGene00013552,-0.222332924,2.39876645,2.866471154,0.108477748,0.320240279
WBGene00013553,-0.007775916,0.684285323,0.000700192,0.979194161,0.993064913
WBGene00013554,0.089314954,4.273857259,1.18003794,0.292340357,0.560428287
WBGene00013555,0.464465074,0.416907996,3.634277036,0.085378924,0.276679643
WBGene00013557,0.074273969,6.931958225,1.571514837,0.226761825,0.488949913
WBGene00013558,0.025844876,4.574463609,0.132054024,0.720740205,0.870191848
WBGene00013559,0.290871959,-0.043128294,0.519421875,0.480771132,0.721832504
WBGene00013560,0.105349429,5.297863202,0.644278727,0.433118861,0.686209526
WBGene00013561,-0.067351572,3.294290742,0.385425636,0.542854834,0.765500852
WBGene00013562,-0.063124485,2.307021088,0.167994993,0.686960244,0.851947206
WBGene00013563,0.679672606,-0.393289689,3.41502543,0.081878053,0.269309293
WBGene00013564,0.127273089,0.667605937,0.210968325,0.651762062,0.835163551
WBGene00013567,-0.013793032,0.946203208,0.001595022,0.968602751,0.988938506
WBGene00013568,-0.586176945,0.530799146,2.938997402,0.104428023,0.312744556
WBGene00013569,0.218480193,3.435994387,2.901142518,0.106518859,0.316520669
WBGene00013574,-0.044863753,3.035429036,0.102153748,0.75311014,0.887651344
WBGene00013575,-0.221983901,6.65744408,5.612621742,0.02978803,0.138473939
WBGene00013576,-0.038144528,2.724011192,0.101115387,0.754323935,0.888103214
WBGene00013577,-0.049460501,7.178866999,0.296502657,0.593074333,0.798071065
WBGene00013578,-0.306333779,5.734473865,6.835757257,0.018007741,0.097742526
WBGene00013580,-0.001921323,6.759414942,0.000678832,0.979513887,0.99322105
WBGene00013581,-0.24910702,1.416557213,1.315107816,0.267177146,0.535798649
WBGene00013584,-0.006434306,2.851558888,0.002205601,0.963083124,0.986569636
WBGene00013585,0.239751559,2.963578883,2.857109566,0.109014011,0.321038621
WBGene00013587,0.527738944,1.472526883,4.631154321,0.045884462,0.183092887
WBGene00013588,-0.262514297,3.782549489,3.468817713,0.079710215,0.264823576
WBGene00013590,0.044589283,0.576259015,0.012429022,0.912522182,0.964571223
WBGene00013591,0.027276883,5.447371746,0.059516201,0.81014881,0.916173449
WBGene00013593,0.137187937,4.41550561,4.286273193,0.053780851,0.203735549
WBGene00013594,0.371739323,2.562544465,5.492582335,0.031358696,0.142998811
WBGene00013595,-0.191741598,5.030554003,3.629583362,0.073621671,0.250275689
WBGene00013596,0.013579921,4.487983216,0.020295348,0.888371021,0.952584446
WBGene00013597,0.105059482,7.346163524,2.254760164,0.151341823,0.390118409
WBGene00013598,-0.090047102,3.649619712,0.662314209,0.426869147,0.680552954
WBGene00013599,-0.070227679,3.334489686,0.447559538,0.512377505,0.745594417
WBGene00013601,-0.092512301,4.574396623,1.177924666,0.292758944,0.560605525
WBGene00013602,0.742244005,3.55373282,2.128819459,0.1625757,0.405935051
WBGene00013603,-0.090937875,3.456268713,0.200652894,0.65978594,0.838959186
WBGene00013604,-0.062518739,2.243987163,0.152576025,0.700881897,0.858447687
WBGene00013605,-0.001350113,2.927925645,5.22E-05,0.994319576,0.998730198
WBGene00013606,0.10162375,6.834015394,1.458465523,0.243521161,0.509765805
WBGene00013607,-0.63511176,1.384801597,9.568371342,0.006530319,0.045740639
WBGene00013608,-0.386214469,1.31247121,1.359095104,0.259608645,0.527837937
WBGene00013609,0.440350021,2.944154966,12.63694651,0.002399913,0.021468853
WBGene00013610,-0.093395093,1.863260282,0.273114614,0.607917439,0.806918806
WBGene00013611,-0.074628453,0.206681069,0.044182246,0.83598506,0.927417911
WBGene00013623,-0.09706138,3.03085853,0.374439718,0.548599306,0.770079538
WBGene00013632,-0.326725895,4.819831806,17.74479372,0.000572432,0.007030238
WBGene00013633,1.078840745,1.948955889,19.61625467,0.000358249,0.004789426
WBGene00013634,0.057863124,0.086178406,0.019679819,0.890064937,0.953604227
WBGene00013636,1.249432551,3.600852804,34.86577797,1.65E-05,0.00040293
WBGene00013637,1.266484055,3.616962037,45.31608461,3.31E-06,0.000108521
WBGene00013639,-0.304491139,6.156213742,12.49019038,0.002510707,0.022247084
WBGene00013642,0.213673838,3.478742486,3.464779638,0.07987059,0.265234782
WBGene00013643,-0.128557331,4.398562136,1.260005274,0.277077576,0.544436381
WBGene00013647,-0.506061436,4.184743736,8.231699631,0.010546031,0.066081979
WBGene00013650,0.188811037,3.554639152,3.101132199,0.096006804,0.297201315
WBGene00013654,-2.417503299,0.979924849,47.74043221,2.37E-06,8.22E-05
WBGene00013655,-0.806746838,0.99170343,10.69340107,0.00445793,0.034400598
WBGene00013656,-0.485936352,0.827181137,7.255731575,0.022526882,0.113868004
WBGene00013658,0.087956611,2.882133918,0.586725986,0.454073643,0.701913092
WBGene00013662,-0.129324146,2.683233764,0.623158791,0.440624288,0.691986573
WBGene00013666,-0.445471036,4.745622957,3.805077889,0.067586822,0.236643687
WBGene00013667,0.048626713,4.924358811,0.458719968,0.50723227,0.741981434
WBGene00013668,-0.050048094,4.383324522,0.394661852,0.538113207,0.762673506
WBGene00013669,0.227756612,2.444916057,1.703311851,0.209048349,0.468894702
WBGene00013670,-0.134070592,6.454690447,2.862400928,0.108710517,0.320535669
WBGene00013671,-0.219889862,2.220707956,1.451602717,0.244589553,0.510654499
