WB_id,logFC_daf16,logFC_double,logFC_daf2
WBGene00006533,-0.33932495,-0.309161425,0.219969025
WBGene00006561,0.40032363,0.25666886,0.048633982
WBGene00006567,0.240899437,0.386415711,0.340962245
WBGene00006578,-0.353191164,-0.356109583,-0.051605462
WBGene00006587,-0.427662775,-0.682926619,-0.471727961
WBGene00006591,-0.396262428,-0.489931986,0.345551435
WBGene00006593,0.284371467,0.147676523,0.050128235
WBGene00006597,-0.64935819,-0.554929382,0.02146242
WBGene00006602,-0.312667949,-0.348499834,0.415726225
WBGene00006609,0.441764062,0.692020728,-0.873440569
WBGene00006611,0.922560066,0.733094852,-0.993760833
WBGene00006621,1.005076628,1.521708983,0.467934236
WBGene00006626,-0.413343626,-0.550498313,-0.408338493
WBGene00006672,0.482321136,0.557935851,0.251576165
WBGene00006677,0.488474403,0.524283588,0.0730947
WBGene00006692,0.429198648,0.529684235,0.209115173
WBGene00006770,-0.216156347,-0.358009534,-0.157861925
WBGene00006774,0.445919133,0.268748669,0.660502221
WBGene00006784,0.267957911,0.15490905,-0.148327217
WBGene00006786,0.181844167,0.073196186,-0.228658495
WBGene00006804,0.261932856,0.217914471,-0.119727618
WBGene00006808,0.794265297,-0.074868599,-0.071771824
WBGene00006816,-0.479449419,-0.535502731,0.141277864
WBGene00006819,-0.221915349,-0.301676116,-0.35945705
WBGene00006863,0.263339068,0.249012213,-0.197113081
WBGene00006882,0.360350784,0.063256846,-0.469799536
WBGene00006886,0.517469729,0.260950427,-1.252034468
WBGene00006896,-0.304816113,-0.239209345,0.066439586
WBGene00006916,0.533530903,0.403465376,0.002563937
WBGene00006930,0.797786135,0.00720115,-0.302983776
WBGene00006936,-0.764325026,-0.722436736,-1.339637026
WBGene00006959,-0.279876744,-0.238956261,-0.016939164
WBGene00006979,2.112911478,2.233421846,-1.570768706
WBGene00006984,0.609801964,0.620373174,-0.160176091
WBGene00007008,0.325524571,0.328546834,-0.32845854
WBGene00007024,-0.766562007,-0.67202705,0.044668066
WBGene00007036,-3.970938674,-2.771243027,2.402070014
WBGene00007054,-0.976405142,-0.920250996,0.080904362
WBGene00007055,0.589596588,0.830381856,0.106334279
WBGene00007058,-0.641591835,-0.720095869,0.400412196
WBGene00007072,-0.834223107,-0.868147698,2.624806762
WBGene00007112,0.919722504,0.733849552,-0.24311081
WBGene00007129,-0.463067771,-0.65966975,-0.427247715
WBGene00007131,-2.614933664,-2.971879412,1.206439238
WBGene00007132,-1.408154927,-1.451875524,0.813539866
WBGene00007133,-0.677953586,-0.788604366,0.081684043
WBGene00007143,0.261680079,0.202733084,-0.274062359
WBGene00007152,1.112807483,1.105340441,-1.273532761
WBGene00007167,-0.233389207,-0.236783429,0.099162016
WBGene00007174,-1.167076674,-1.110085391,2.242134304
WBGene00007185,-0.259073625,-0.406387531,-0.090468364
WBGene00007188,-0.252389302,-0.110195994,0.010247319
WBGene00007214,-0.593392638,-0.848659048,0.768164957
WBGene00007228,-0.815804548,-1.152657001,-0.119224155
WBGene00007237,0.809955282,-0.093254971,-0.197617794
WBGene00007254,0.513141498,0.668412264,-0.002476686
WBGene00007267,-0.303671617,-0.312881565,0.090852895
WBGene00007284,0.321537126,0.373340808,0.041479215
WBGene00007301,1.871080359,1.855905915,-0.076005621
WBGene00007302,-0.293605546,-0.469466307,0.17502773
WBGene00007331,2.110897084,2.064015032,-0.921875738
WBGene00007336,-0.600703814,-0.62321999,0.33021906
WBGene00007340,-0.678141046,-0.256528541,0.121946029
WBGene00007347,0.443876762,0.400679154,0.314070397
WBGene00007353,-0.421800404,-0.705371912,0.217718826
WBGene00007363,-0.505297672,-0.464196552,0.667781245
