Kaplan down,Kaplan up,Tepper class I,Tepper class II,double_daf2_down,double_daf2_up,,
D2096.11,C50F4.10,WBGene00008865,WBGene00013740,WBGene00017945,WBGene00001396,,
F27B3.5,let-653,WBGene00009420,WBGene00021828,WBGene00009529,WBGene00015602,,
T28C6.10,C01A2.3,WBGene00016046,WBGene00009966,WBGene00007513,WBGene00004172,,
Y6G8.9,F49C12.15,WBGene00015598,WBGene00016766,WBGene00010086,WBGene00018432,,
gfi-1,clec-173,WBGene00000912,WBGene00022792,WBGene00017756,WBGene00013607,,
his-3,rpi-2,WBGene00008436,WBGene00013024,WBGene00020394,WBGene00015026,,
fbxb-7,pgp-9,WBGene00044271,WBGene00006510,WBGene00001479,WBGene00020579,,
W03B1.3,F31D5.4,WBGene00044273,WBGene00016157,WBGene00003766,WBGene00022664,,
Y34F4.2,tre-3,WBGene00044272,WBGene00008561,WBGene00021183,WBGene00018779,,
F35E8.10,Y17D7C.2,WBGene00044274,WBGene00006061,WBGene00007963,WBGene00002255,,
T07F8.4,acp-4,WBGene00044275,WBGene00004312,WBGene00009957,WBGene00013947,,
H31G24.3,F21A9.2,WBGene00016987,WBGene00009485,WBGene00009803,WBGene00015605,,
ins-24,zig-4,WBGene00002258,WBGene00017226,WBGene00000978,WBGene00003571,,
F48D6.4,psa-3,WBGene00017971,WBGene00000514,WBGene00018257,WBGene00019699,,
fipr-8,math-47,WBGene00020218,WBGene00019058,WBGene00271817,WBGene00003734,,
W08A12.4,Y41D4B.16,WBGene00021818,WBGene00015211,WBGene00007472,WBGene00022486,,
M01B2.13,C32D5.6,WBGene00001604,WBGene00013436,WBGene00004234,WBGene00019617,,
F14D7.7,Y39B6A.27,WBGene00004234,WBGene00009203,WBGene00011561,WBGene00000776,,
srw-85,C44C10.3,WBGene00011042,WBGene00010234,WBGene00020397,WBGene00009522,,
set-9,cyp-34A1,WBGene00016316,WBGene00019788,WBGene00044527,WBGene00271744,,
fbxc-51,T28H10.2,WBGene00015778,WBGene00001497,WBGene00011844,WBGene00021603,,
dlc-4,T19D12.9,WBGene00016302,WBGene00015860,WBGene00003214,WBGene00019214,,
R07A4.3,R07B1.8,WBGene00007990,WBGene00012029,WBGene00009227,WBGene00020700,,
Y54G2A.21,ugt-46,WBGene00021658,WBGene00009448,WBGene00001761,WBGene00022605,,
acdh-1,F55B11.1,WBGene00017748,WBGene00020205,WBGene00000733,WBGene00008917,,
M04F3.2,gpb-1,WBGene00012279,WBGene00010231,WBGene00010135,WBGene00021262,,
puf-6,dod-19,WBGene00018395,WBGene00017102,WBGene00010328,WBGene00000175,,
cyp-25A3,F32H5.1,WBGene00007131,WBGene00001099,WBGene00002272,WBGene00012127,,
npl-4.2,T10B5.7,WBGene00022495,WBGene00011808,WBGene00000831,WBGene00003995,,
Y73B3A.11,E01G6.3,WBGene00011196,WBGene00013383,WBGene00012070,WBGene00010339,,
grd-3,C36B1.13,WBGene00019233,WBGene00005521,WBGene00019489,WBGene00007393,,
K09C8.7,rla-0,WBGene00021337,WBGene00010560,WBGene00044292,WBGene00000005,,
C06G3.3,Y53G8AR.7,WBGene00009213,WBGene00017998,WBGene00016882,WBGene00007753,,
act-2,pst-1,WBGene00000831,WBGene00009352,WBGene00009514,WBGene00010515,,
hil-1,C34H4.2,WBGene00000627,WBGene00003230,WBGene00022474,WBGene00010080,,
Y57G11C.20,ZC239.14,WBGene00001777,WBGene00016303,WBGene00013516,WBGene00001795,,
K08E5.1,C50B6.7,WBGene00021965,WBGene00016249,WBGene00007516,WBGene00021171,,
F41C3.1,acs-14,WBGene00012727,WBGene00014141,WBGene00011232,WBGene00007536,,
