Strain,Worm,Rep,Days_Starved,Tp1,Tp2,Tp3,Tp4,Tp5,Tp6,Tp7,Total
WT,13,10,1,39,139,64,12,7,0,0,261
WT,14,10,1,39,118,85,10,3,0,0,255
WT,15,10,1,34,126,96,9,1,0,0,266
WT,16,10,1,56,131,71,19,1,0,0,278
WT,17,10,1,60,152,65,2,0,0,0,279
WT,18,10,1,52,138,90,6,4,0,0,290
daf-2,1,10,1,0,0,36,62,35,6,1,140
daf-2,2,10,1,0,0,17,0,0,0,0,17
daf-2,3,10,1,0,0,38,47,54,20,8,167
daf-2,4,10,1,0,0,50,48,30,15,1,144
daf-2,5,10,1,0,0,21,63,53,22,14,173
daf-2,6,10,1,0,0,36,39,45,19,20,159
daf-2,7,10,1,0,0,45,60,36,22,22,185
daf-2,8,10,1,0,0,NA,NA,NA,NA,NA,0
daf-2,9,10,1,0,0,32,33,46,0,0,111
daf-2,10,10,1,0,0,20,28,50,35,20,153
daf-2,11,10,1,0,0,60,25,0,0,0,85
daf-2,12,10,1,0,0,8,18,31,10,9,76
daf-2,13,10,1,0,0,NA,NA,NA,NA,NA,0
daf-2,14,10,1,0,0,43,65,55,26,1,190
daf-2,15,10,1,0,0,53,56,57,40,25,231
daf-2,16,10,1,0,0,1,4,0,0,0,5
daf-2,17,10,1,0,0,9,25,40,29,13,116
daf-2,18,10,1,0,0,32,7,0,0,0,39
daf-16; daf-2,1,10,1,52,164,86,0,0,0,0,302
daf-16; daf-2,2,10,1,21,86,47,1,0,0,0,155
daf-16; daf-2,3,10,1,28,132,67,1,0,0,0,228
daf-16; daf-2,4,10,1,25,129,90,4,0,0,0,248
daf-16; daf-2,5,10,1,12,135,102,3,0,0,0,252
daf-16; daf-2,6,10,1,5,85,81,29,5,0,0,205
daf-16; daf-2,7,10,1,43,162,99,1,0,0,0,305
daf-16; daf-2,8,10,1,17,45,20,11,8,0,0,101
daf-16; daf-2,9,10,1,17,170,43,1,0,0,0,231
daf-16; daf-2,10,10,1,1,129,123,4,0,0,0,257
daf-16; daf-2,11,10,1,33,166,109,3,0,0,0,311
daf-16; daf-2,12,10,1,0,86,172,52,2,0,0,312
daf-16; daf-2,13,10,1,31,165,70,0,0,0,0,266
daf-16; daf-2,14,10,1,0,117,107,22,6,0,0,252
daf-16; daf-2,15,10,1,23,149,52,3,0,0,0,227
daf-16; daf-2,16,10,1,0,0,0,7,2,0,0,9
daf-16; daf-2,17,10,1,27,155,132,13,1,0,0,328
daf-16; daf-2,18,10,1,32,166,47,2,3,0,0,250
daf-16,1,10,1,54,143,25,1,0,0,0,223
daf-16,2,10,1,37,144,106,44,9,1,0,341
daf-16,3,10,1,43,132,62,32,20,2,0,291
daf-16,4,10,1,46,143,98,9,3,1,0,300
daf-16,5,10,1,41,124,66,14,4,0,0,249
daf-16,6,10,1,58,128,33,0,0,0,0,219
daf-16,7,10,1,48,155,76,1,0,0,0,280
daf-16,8,10,1,0,9,29,21,7,2,0,68
daf-16,9,10,1,75,173,66,7,0,0,0,321
daf-16,10,10,1,67,129,37,5,1,0,0,239
daf-16,11,10,1,32,102,116,17,8,0,0,275
daf-16,12,10,1,48,143,66,16,2,0,0,275
daf-16,13,10,1,67,157,133,36,3,0,0,396
daf-16,14,10,1,64,133,59,8,3,2,0,269
daf-16,15,10,1,47,155,101,6,2,0,0,311
daf-16,16,10,1,8,66,39,5,0,0,0,118
daf-16,17,10,1,66,175,46,3,0,0,0,290
daf-16,18,10,1,56,112,61,8,1,0,0,238
WT,1,10,6,38,111,32,0,0,0,0,181
WT,2,10,6,33,119,38,17,5,0,0,212
WT,3,10,6,30,77,20,0,0,0,0,127
WT,4,10,6,1,16,0,0,0,0,0,17
WT,5,10,6,17,53,13,6,0,0,0,89
WT,6,10,6,0,27,3,0,0,0,0,30
WT,7,10,6,36,106,89,15,0,0,0,246
WT,8,10,6,23,91,99,35,10,0,0,258
WT,9,10,6,29,104,75,24,25,0,0,257
WT,10,10,6,5,78,88,13,0,0,0,184
WT,11,10,6,23,80,53,14,16,11,0,197
WT,12,10,6,22,87,63,8,3,0,0,183
WT,13,10,6,36,99,68,6,2,0,0,211
WT,14,10,6,0,0,0,0,0,0,0,0
WT,15,10,6,0,10,0,0,0,0,0,10
WT,16,10,6,0,10,6,1,0,0,0,17
WT,17,10,6,24,37,14,7,0,0,0,82
WT,18,10,6,30,115,46,9,7,5,0,212
daf-2,1,10,6,0,0,38,58,44,48,46,234
daf-2,2,10,6,0,0,NA,NA,NA,NA,NA,0
daf-2,3,10,6,0,0,36,62,29,26,19,172
daf-2,4,10,6,0,0,NA,NA,NA,NA,NA,0
daf-2,5,10,6,0,0,NA,NA,NA,NA,NA,0
daf-2,6,10,6,0,0,NA,NA,NA,NA,NA,0
daf-2,7,10,6,0,0,NA,NA,NA,NA,NA,0
daf-2,8,10,6,0,0,21,13,4,19,5,62
daf-2,9,10,6,0,0,8,0,0,0,0,8
daf-2,10,10,6,0,0,NA,NA,NA,NA,NA,0
daf-2,11,10,6,0,0,NA,NA,NA,NA,NA,0
daf-2,12,10,6,0,0,NA,NA,NA,NA,NA,0
daf-2,13,10,6,0,0,NA,NA,NA,NA,NA,0
daf-2,14,10,6,0,0,NA,NA,NA,NA,NA,0
daf-2,15,10,6,0,0,NA,NA,NA,NA,NA,0
daf-2,16,10,6,0,0,NA,NA,NA,NA,NA,0
daf-2,17,10,6,0,0,7,38,37,34,7,123
daf-2,18,10,6,0,0,NA,NA,NA,NA,NA,0
daf-16; daf-2,1,10,6,0,77,171,36,0,0,0,284
daf-16; daf-2,2,10,6,0,93,168,12,1,1,0,275
daf-16; daf-2,3,10,6,0,25,89,98,14,2,0,228
daf-16; daf-2,4,10,6,0,39,105,27,0,0,0,171
daf-16; daf-2,5,10,6,4,94,136,70,22,2,0,328
daf-16; daf-2,6,10,6,1,110,113,37,1,0,0,262
daf-16; daf-2,7,10,6,0,14,147,84,1,0,0,246
daf-16; daf-2,8,10,6,0,95,160,27,1,0,0,283
daf-16; daf-2,9,10,6,0,85,87,27,20,0,0,219
daf-16; daf-2,10,10,6,0,77,130,80,8,0,0,295
daf-16; daf-2,11,10,6,0,98,31,44,5,0,0,178
daf-16; daf-2,12,10,6,0,79,158,66,7,1,0,311
daf-16; daf-2,13,10,6,0,85,175,22,0,0,0,282
daf-16; daf-2,14,10,6,0,112,142,22,0,0,0,276
daf-16; daf-2,15,10,6,0,100,157,28,0,0,0,285
daf-16; daf-2,16,10,6,0,6,NA,NA,NA,NA,NA,6
daf-16; daf-2,17,10,6,0,49,126,63,6,4,0,248
daf-16; daf-2,18,10,6,0,57,154,39,16,0,0,266
daf-16,1,10,6,0,70,140,47,4,0,0,261
daf-16,2,10,6,0,0,0,0,0,0,0,0
daf-16,3,10,6,0,0,0,0,0,0,0,0
daf-16,4,10,6,0,50,97,64,25,4,0,240
daf-16,5,10,6,0,60,109,67,9,1,0,246
daf-16,6,10,6,0,0,0,0,0,0,0,0
daf-16,7,10,6,0,34,78,46,5,1,0,164
daf-16,8,10,6,0,69,108,31,10,10,0,228
daf-16,9,10,6,0,18,68,73,31,26,0,216
daf-16,10,10,6,0,34,121,33,1,0,0,189
daf-16,11,10,6,0,40,84,16,13,0,0,153
daf-16,12,10,6,0,0,43,61,48,47,0,199
daf-16,13,10,6,0,65,82,38,0,0,0,185
daf-16,14,10,6,0,0,0,0,0,0,0,0
daf-16,15,10,6,0,0,0,0,0,0,0,0
daf-16,16,10,6,0,52,149,72,17,0,0,290
daf-16,17,10,6,2,82,140,65,4,3,0,296
daf-16,18,10,6,0,80,100,47,6,1,0,234
